player_name,team_name,games,wins,losses,saves,holds,innings_pitched_outs,hits_allowed,home_runs_allowed,walks,intentional_walks,hit_by_pitch,strikeouts,wild_pitches,balks,runs_allowed,earned_runs,era,whip,games_started,complete_games,shutouts,rank
蔣銲,味全龍,15,7,2,0,0,287,54,3,31,0,6,99,4,0,18,14,1.32,,15,0,0,1
艾速特,台鋼雄鷹,16,8,4,0,0,278,62,1,30,0,10,90,3,0,24,17,1.65,,16,0,0,2
黃子鵬,台鋼雄鷹,15,5,4,0,0,301,81,2,14,0,9,42,0,0,25,21,1.88,,15,1,1,3
布雷克,統一7-ELEVEn獅,14,3,6,0,0,285,82,5,11,0,0,55,4,0,22,20,1.89,,14,2,0,4
梅賽鍶,味全龍,15,9,3,0,0,278,84,4,16,0,0,58,2,0,22,21,2.04,,15,0,0,5
鋼龍,味全龍,16,5,6,0,0,295,87,6,19,0,2,93,4,0,29,23,2.11,,16,0,0,6
鈴木駿輔,富邦悍將,15,8,4,0,0,265,76,4,21,0,5,81,2,1,27,21,2.14,,15,2,1,7
李東洺,富邦悍將,15,10,2,0,0,255,70,6,30,0,2,44,0,1,24,22,2.33,,15,0,0,8
#魔爾曼,樂天桃猿,15,5,6,0,0,260,80,2,26,0,0,71,3,0,28,26,2.7,,14,0,0,9
獅帝芬,統一7-ELEVEn獅,16,7,7,0,0,280,82,3,29,0,5,66,2,2,31,28,2.7,,16,0,0,10
魔力藍,富邦悍將,17,7,5,0,0,288,98,3,25,0,3,62,0,0,39,33,3.09,,17,0,0,11
羅戈,中信兄弟,17,7,8,0,0,306,96,3,26,0,4,79,2,0,38,37,3.26,,17,0,0,12
勝騎士,中信兄弟,15,6,5,0,0,288,101,11,8,0,3,77,3,1,45,38,3.56,,15,0,0,13
艾菩樂,樂天桃猿,16,2,8,0,0,300,106,11,21,0,6,68,4,0,54,41,3.69,,16,1,0,14
後勁,台鋼雄鷹,15,4,7,0,0,240,85,1,40,0,4,62,4,0,46,43,4.84,,15,0,0,15
