game_date,away_team,home_team,away_score,home_score,status,venue,away_pitcher,home_pitcher
,樂天桃猿,統一7-ELEVEn獅,3.0,2.0,已完賽,亞太主,,
,台鋼雄鷹,富邦悍將,1.0,3.0,已完賽,新莊,,
,中信兄弟,味全龍,1.0,4.0,已完賽,大巨蛋,,
,中信兄弟,味全龍,7.0,0.0,已完賽,大巨蛋,,
,樂天桃猿,統一7-ELEVEn獅,0.0,2.0,已完賽,亞太主,,
,台鋼雄鷹,富邦悍將,10.0,3.0,已完賽,新莊,,
,樂天桃猿,台鋼雄鷹,8.0,1.0,已完賽,嘉義市,,
,富邦悍將,中信兄弟,0.0,5.0,已完賽,洲際,,
,樂天桃猿,台鋼雄鷹,6.0,7.0,已完賽,澄清湖,,
,富邦悍將,中信兄弟,10.0,2.0,已完賽,洲際,,
,統一7-ELEVEn獅,味全龍,0.0,3.0,已完賽,天母,,
,統一7-ELEVEn獅,味全龍,,,,天母,,
,中信兄弟,台鋼雄鷹,,,,澄清湖,,
,味全龍,樂天桃猿,,,,樂天桃園,,
,統一7-ELEVEn獅,富邦悍將,,,,新莊,,
,中信兄弟,台鋼雄鷹,,,,澄清湖,,
,味全龍,樂天桃猿,,,,樂天桃園,,
,統一7-ELEVEn獅,富邦悍將,,,,新莊,,
,中信兄弟,台鋼雄鷹,,,,澄清湖,,
,味全龍,樂天桃猿,,,,樂天桃園,,
,統一7-ELEVEn獅,富邦悍將,,,,新莊,,
,樂天桃猿,統一7-ELEVEn獅,,,,台東,,
,味全龍,台鋼雄鷹,,,,澄清湖,,
,樂天桃猿,統一7-ELEVEn獅,,,,台東,,
,味全龍,台鋼雄鷹,,,,澄清湖,,
,中信兄弟,富邦悍將,,,,新莊,,
,中信兄弟,富邦悍將,,,,新莊,,
,富邦悍將,統一7-ELEVEn獅,,,,亞太主,,
,樂天桃猿,味全龍,,,,大巨蛋,,
,台鋼雄鷹,中信兄弟,,,,洲際,,
,富邦悍將,統一7-ELEVEn獅,,,,亞太主,,
,樂天桃猿,味全龍,,,,大巨蛋,,
,台鋼雄鷹,中信兄弟,,,,洲際,,
,樂天桃猿,味全龍,,,,大巨蛋,,
,富邦悍將,統一7-ELEVEn獅,,,,亞太主,,
,台鋼雄鷹,中信兄弟,,,,洲際,,
,統一7-ELEVEn獅,台鋼雄鷹,,,,台東,,
,富邦悍將,樂天桃猿,,,,樂天桃園,,
,統一7-ELEVEn獅,台鋼雄鷹,,,,台東,,
,富邦悍將,樂天桃猿,,,,樂天桃園,,
,中信兄弟,味全龍,,,,大巨蛋,,
,中信兄弟,味全龍,,,,大巨蛋,,
,樂天桃猿,台鋼雄鷹,,,,澄清湖,,
,中信兄弟,統一7-ELEVEn獅,,,,大巨蛋,,
,味全龍,富邦悍將,,,,新莊,,
,樂天桃猿,台鋼雄鷹,,,,澄清湖,,
,中信兄弟,統一7-ELEVEn獅,,,,大巨蛋,,
,味全龍,富邦悍將,,,,新莊,,
,樂天桃猿,台鋼雄鷹,,,,澄清湖,,
,中信兄弟,統一7-ELEVEn獅,,,,大巨蛋,,
,味全龍,富邦悍將,,,,新莊,,
,樂天桃猿,中信兄弟,,,,大巨蛋,,
,味全龍,統一7-ELEVEn獅,,,,亞太主,,
,樂天桃猿,中信兄弟,,,,大巨蛋,,
,味全龍,統一7-ELEVEn獅,,,,亞太主,,
,台鋼雄鷹,富邦悍將,,,,新莊,,
,台鋼雄鷹,富邦悍將,,,,新莊,,
,富邦悍將,中信兄弟,,,,洲際,,
,統一7-ELEVEn獅,樂天桃猿,,,,大巨蛋,,
,台鋼雄鷹,味全龍,,,,天母,,
,富邦悍將,中信兄弟,,,,洲際,,
,統一7-ELEVEn獅,樂天桃猿,,,,大巨蛋,,
,台鋼雄鷹,味全龍,,,,天母,,
,台鋼雄鷹,味全龍,,,,天母,,
,富邦悍將,中信兄弟,,,,洲際,,
,統一7-ELEVEn獅,樂天桃猿,,,,大巨蛋,,
